,UUID,Date,text,FixedText
17990,5c840e84-5bcd-46cd-acc8-7a875bb47a9c,1892-12-27,"<p>similar Institutes in our midst for the<br/>
purpose of destroying the unnatural taste that<br/>
long accustomed habit had created for strong<br/>
<strike>st</strike> drink. This timely check, however good<br/>
and praiseworthy, is costing the community many<br/>
thousands of dollars.</p>

<p>Every philanthropic effort, organized for the express<br/>
purpose of influencing the youth to abstain from<br/>
such soul and body destroying habits, [[George Goddard|I]] hail with joy<br/>
and gratitude to my heavenly father, and award a<br/>
meed [need] of praise toward all those who labor with such<br/>
unselfish motives to benefit their fellow creatures.<br/>
But all such efforts fall far short of the needed remedy.</p>

<p>God our heavenly father, realizing the degenerating<br/>
habits of the present generation, has kindly detailed<br/>
those hygienic principles, embodied ^in^ the word of<br/>
wisdom, (as a key) for his servants to use, towards<br/>
effecting a thorough reformation, not only in the<br/>
midst of his people, but extend a universal invitation<br/>
to all the children of [[Adam (OT)|Adam]]; of no creed, and every<br/>
creed to come and partake with us the blessing of </p>","similar Institutes in our midst for the purpose of destroying the unnatural taste that long accustomed habit had created for strong st drink. This timely check, however good and praiseworthy, is costing the community many thousands of dollars.  Every philanthropic effort, organized for the express purpose of influencing the youth to abstain from such soul and body destroying habits, I hail with joy and gratitude to my heavenly father, and award a meed need of praise toward all those who labor with such unselfish motives to benefit their fellow creatures. But all such efforts fall far short of the needed remedy.  God our heavenly father, realizing the degenerating habits of the present generation, has kindly detailed those hygienic principles, embodied ^in^ the word of wisdom, (as a key) for his servants to use, towards effecting a thorough reformation, not only in the midst of his people, but extend a universal invitation to all the children of Adam; of no creed, and every creed to come and partake with us the blessing of "
17991,6af5f14b-f00b-4b66-b966-85cd5126df45,1892-05-18,"<p>[[George Goddard|I]] would suggest the embodyment of the senti-<br/>
ments contained in the ""Word of Wisdom"", and<br/>
to meet the present condition of society, in the<br/>
form of a pledge as follows.</p>

<p>""I promise to abstain from the use of Tea,<br/>
Coffee, Cigarettes, Tobacco &amp; all intoxicating<br/>
drinks"", also to use meats of all kinds very<br/>
sparingly.</p>

<p>Such a society would not only commend<br/>
itself to all real latter day saints, but tower<br/>
above the pettifogging efforts of Christiandom<br/>
in their Temperance movement, who confine<br/>
their ammunication against the use of intoxicants<br/>
only &amp; leaving their converts the privilege of indecl<br/>
-ging in the health destroying use of Tobacco<br/>
Cigarettes Tea, Coffee, &amp; all the meat they choose.</p>

<p>A society based on the principles I suggests<br/>
would command the respect and sanction<br/>
of the most influential pracitiones of medical<br/>
science.  And not a man of inferior note<br/>
would dare to scoff or proclaim against it,<br/>
for fear of exposing their ignorance, and lose<br/>
what little influence they now possess.</p>","I would suggest the embodyment of the senti- ments contained in the ""Word of Wisdom"", and to meet the present condition of society, in the form of a pledge as follows.  ""I promise to abstain from the use of Tea, Coffee, Cigarettes, Tobacco and all intoxicating drinks"", also to use meats of all kinds very sparingly.  Such a society would not only commend itself to all real latter day saints, but tower above the pettifogging efforts of Christiandom in their Temperance movement, who confine their ammunication against the use of intoxicants only and leaving their converts the privilege of indecl -ging in the health destroying use of Tobacco Cigarettes Tea, Coffee, and all the meat they choose.  A society based on the principles I suggests would command the respect and sanction of the most influential pracitiones of medical science.  And not a man of inferior note would dare to scoff or proclaim against it, for fear of exposing their ignorance, and lose what little influence they now possess."
17992,27aca23b-59ae-42d3-b23b-e869c37fbe89,1892-12-27,"<p>increased health and longevity.</p>

<p>[[George Goddard|My]] suggestion is this, with a view of forming a gigan-<br/>
tic schemic of Temperance reform, let a meeting be<br/>
called for the advocacy of broad and advanced princi-<br/>
ples, with the purpose of stemming the tide of wicked-<br/>
ness resulting from the3 smoking and drinking customs of<br/>
the country, let all lovers of humanity be invited.</p>

<p>Let the names of the organization be of a distinctive<br/>
character, for instance ""The rocky mountain Temper-<br/>
ance Society"" or, ""The great latter day Temper-<br/>
ance Society,"" and under its broad banner, at least<br/>
two pledges or promises for the admission of mem-<br/>
bers, one, ""I hereby promise to abstain from the<br/>
use of <strike>st</strike> strong drink and tobacco,"" another,<br/>
I hereby promise to abstain from the use of tea, <br/>
coffee, tobacco &amp; strong drink.</p>

<p>Both of these pledges will receive the signatures<br/>
of thousands of latter day saints in all parts of<br/>
the world. They will become a stay and a staff<br/>
to them, as a strengthener to their memory, precisely<br/>
on the same principle, as the signing of a promisory</p>","increased health and longevity.  My suggestion is this, with a view of forming a gigan- tic schemic of Temperance reform, let a meeting be called for the advocacy of broad and advanced princi- ples, with the purpose of stemming the tide of wicked- ness resulting from the3 smoking and drinking customs of the country, let all lovers of humanity be invited.  Let the names of the organization be of a distinctive character, for instance ""The rocky mountain Temper- ance Society"" or, ""The great latter day Temper- ance Society,"" and under its broad banner, at least two pledges or promises for the admission of mem- bers, one, ""I hereby promise to abstain from the use of st strong drink and tobacco,"" another, I hereby promise to abstain from the use of tea,  coffee, tobacco and strong drink.  Both of these pledges will receive the signatures of thousands of latter day saints in all parts of the world. They will become a stay and a staff to them, as a strengthener to their memory, precisely on the same principle, as the signing of a promisory"
17993,d04e6893-7de5-420c-9388-538f2c88ca8c,1892-05-18,"<p>We are catering for the inhabitants of the<br/>
universe, and in aiming to stem the torrent<br/>
of inequity &amp; vice, so much of which springs ^frum^<br/>
the use of strong drink, our Temperance effort<br/>
should, as far exeel theirs, as do the first princi<br/>
ples of the gospel excel the religious vagaries of the<br/>
age.</p>

<p>The revelations of the Keeley Institute are<br/>
simply appalling.<br/>
Who could ^have^ thought that so many victims of<br/>
both male and female six, of this direful<br/>
habit, could have been found in thie community<br/>
Having so far expressed [[George Goddard|myself]], I will<br/>
now ask the question.</p>

<p>Will you permit me, or some one else<br/>
better qualified to inaugerate a Latter day<br/>
saint Temperance Society?  accompanied<br/>
with your sanction, faith, and blessing.</p>

<p>I do not think that such a society<br/>
could exist any great length of time<br/>
without embracing tens of thousands of our<br/>
community withint its folds.</p>

<p>It would simply be presenting the [[word of wisdom|Word of]]<br/>
</p>","We are catering for the inhabitants of the universe, and in aiming to stem the torrent of inequity and vice, so much of which springs ^frum^ the use of strong drink, our Temperance effort should, as far exeel theirs, as do the first princi ples of the gospel excel the religious vagaries of the age.  The revelations of the Keeley Institute are simply appalling. Who could ^have^ thought that so many victims of both male and female six, of this direful habit, could have been found in thie community Having so far expressed myself, I will now ask the question.  Will you permit me, or some one else better qualified to inaugerate a Latter day saint Temperance Society?  accompanied with your sanction, faith, and blessing.  I do not think that such a society could exist any great length of time without embracing tens of thousands of our community withint its folds.  It would simply be presenting the Word of "
17994,e125eb77-ca0d-4ed0-9143-6e402724bcf6,1892-12-27,"<p>note at a bank, our <u>word</u> not usually sufficient to<br/>
satisfy bankers, but our bond is demanded, and one<br/>
or more signatures <strike>demanded</strike> ^required^. Thus our memory<br/>
is strengthened to meet our obligation on the day it<br/>
falls due. Let the organization have its head quarters<br/>
in [[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake City]], and branch ones all over the world,<br/>
the same as our Sunday Schools.</p>

<p>Thus the latter day saints will take the lead in this<br/>
as in all other movements that promises the ameliora-<br/>
tion of mans condition upon the earth.</p>

<p>Your kind and patient consideration of the<br/>
above suggestions will be duly appreciated by a well<br/>
wisher to the cause of Zion</p>

<p>[[George Goddard|George Goddard]]</p>","note at a bank, our word not usually sufficient to satisfy bankers, but our bond is demanded, and one or more signatures demanded ^required^. Thus our memory is strengthened to meet our obligation on the day it falls due. Let the organization have its head quarters in Salt Lake City, and branch ones all over the world, the same as our Sunday Schools.  Thus the latter day saints will take the lead in this as in all other movements that promises the ameliora- tion of mans condition upon the earth.  Your kind and patient consideration of the above suggestions will be duly appreciated by a well wisher to the cause of Zion  George Goddard"
17995,a681918f-c04a-45f0-a577-c63b340dab02,1892-05-18,"<p>[[word of wisdom|wisdom]] in a new drass; and if by so doing,<br/>
many more converts might be made, I dont<br/>
think the Lord would object, for we never ^knew<br/>
of him interposing any objection to his servants<br/>
[[Paul (NT)|Paul]], who indulged in a little guile in accom-<br/>
plishing more good, than he could have donwe<br/>
without it.</p>

<p>Your Brother in the Gospel<br/>
[[George Goddard|George Goddard]]</p>","wisdom in a new drass; and if by so doing, many more converts might be made, I dont think the Lord would object, for we never ^knew of him interposing any objection to his servants Paul, who indulged in a little guile in accom- plishing more good, than he could have donwe without it.  Your Brother in the Gospel George Goddard"
17996,98ed3b62-682c-456d-a970-0ebfecdafe8f,1892-12-12,"<p>[[George Goddard|George Goddard]]<br/>
<time datetime=""1892-12-12""><u>Dec. 12 [18]92</u></time></p>

<p>[[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake City]]<br/>
Dec<u><sup>r</sup></u> 12 1892</p>

<p>Pres<sup>t</sup> W. Woodruff<br/>
&amp; Council /<br/>
Brethren /<br/>
By per mission I will lay before you<br/>
a few thoughts, suggested by observation.<br/>
In offering up, the opening and closing prayer<br/>
before public congregations, in the blessing of<br/>
the bread and water over the sacrament<br/>
Table &amp;c, I have noticed a great variety of<br/>
habit by the Elders on such occasions,<br/>
some hold up the right hand only, others<br/>
the left hand only, some keep both hands<br/>
down while others hold both hands uplifted.<br/>
This lack of uniformity presented before<br/>
public audiences, Sunday after Sunday, (while<br/>
there is no principle or doctrine of the Gospel<br/>
involved) yet so unseemly a variety I must<br/>
say, conflicts somewhat with my feelings and</p>","George Goddard Dec. 12 1892  Salt Lake City Decr 12 1892  Prest W. Woodruff and Council / Brethren / By per mission I will lay before you a few thoughts, suggested by observation. In offering up, the opening and closing prayer before public congregations, in the blessing of the bread and water over the sacrament Table andc, I have noticed a great variety of habit by the Elders on such occasions, some hold up the right hand only, others the left hand only, some keep both hands down while others hold both hands uplifted. This lack of uniformity presented before public audiences, Sunday after Sunday, (while there is no principle or doctrine of the Gospel involved) yet so unseemly a variety I must say, conflicts somewhat with my feelings and"
17997,ac46b21d-ec41-432d-ab24-a8c4d0001b9e,1892-12-12,"<p>love of uniformity.  A few months ago, [[CBI|one]]<br/>
of the brethren having noticed the same<br/>
variety, presented it before the priesthood<br/>
meeting of this Stake for solution, [[CBI|one]] of<br/>
the Presidency responded, by saying that it was<br/>
one of those unimportant items that the Lord<br/>
had not seen fit to say anything about in our<br/>
day, and therefore we need not worry about it.<br/>
Though not in the same words, the answer, as [[George Goddard|I]]<br/>
understood it, amounted to the same.</p>

<p>I have noticed, that when in a distinct, loud tone<br/>
of voice, an Elder pronounces verbatim the prayer<br/>
that was formulated for that purpose, to be used at the<br/>
sacrament table, how much more grateful to<br/>
the multitude of listeners than in a moment of for-<br/>
getfulness, he should branch off in language of his<br/>
own.  And when the habit of forgetfulness seemed to be<br/>
more the <strike>exception</strike> ^rule^ than the <strike>rule</strike> ^except<strike>oi</strike>ion^, printed forms were sug-<br/>
gested, to avoid the variety, and secure uniformity of speech.</p>

<p>When King [[David (OT)|David]] was in the enjoyment of the spirit<br/>
of God, and in the midst of his devotional element,</p>","love of uniformity.  A few months ago, one of the brethren having noticed the same variety, presented it before the priesthood meeting of this Stake for solution, one of the Presidency responded, by saying that it was one of those unimportant items that the Lord had not seen fit to say anything about in our day, and therefore we need not worry about it. Though not in the same words, the answer, as I understood it, amounted to the same.  I have noticed, that when in a distinct, loud tone of voice, an Elder pronounces verbatim the prayer that was formulated for that purpose, to be used at the sacrament table, how much more grateful to the multitude of listeners than in a moment of for- getfulness, he should branch off in language of his own.  And when the habit of forgetfulness seemed to be more the exception ^rule^ than the rule ^exceptoiion^, printed forms were sug- gested, to avoid the variety, and secure uniformity of speech.  When King David was in the enjoyment of the spirit of God, and in the midst of his devotional element,"
17998,cccec073-395c-4129-bee9-8b6584ffe73c,1892-12-12,"<p>We find the following passages.</p>

<p>##Psalm 28:2|Psalm 28.2##. Hear the voice of my supplication when I<br/>
cry unto thee, when I lift up my <u>hands</u> towards<br/>
thy holy oracle.</p>

<p>##Psalm 63:4|[Psalm] 63.4##. Thus will I bless thee while I live, I will<br/>
lift up my <u>hands</u> in thy name.</p>

<p>##Psalm 88:9|[Psalm] 88.9## I have stretched forth my <u>hands</u> unto thee.</p>

<p>##Psalm 134:2|[Psalm] 134.2##  Lift up your <u>hands</u> in the sanctuary and<br/>
bless the Lord.</p>

<p>##Psalm 141:2|[Psalm] 141.2## Let my prayer be set forth before thee as<br/>
Incense, and the lifting up of my <u>hands</u> as<br/>
the evening sacrifice.</p>

<p>##Psalm 143:6|[Psalm] 143.6## I stretch forth my <u>hands</u> unto thee my soul<br/>
thirsteth after thee, as the thirsty land.</p>

<p>##Exodus 17:11|Exedus 17.11##. [[Aaron (OT)|Aaron]] and [[Hur (OT)|Hur]] stay'd up his <u>hands</u>, the one or<br/>
one side, and the other on the other side, and his<br/>
<u>hands</u> were steady, until the going down of the same</p>

<p>##1 Kings 8:15-21|1<sup>st</sup> Kings 8.15 to 21##. [[Solomon (OT)|Solomon]] kneeling before the alter in<br/>
the court, lifted his <u>hands</u> to Heaven, while<br/>
he offer'd the Dedicatory prayer.</p>","We find the following passages.  ##Psalm 28:2|Psalm 28.2##. Hear the voice of my supplication when I cry unto thee, when I lift up my hands towards thy holy oracle.  ##Psalm 63:4|Psalm 63.4##. Thus will I bless thee while I live, I will lift up my hands in thy name.  ##Psalm 88:9|Psalm 88.9## I have stretched forth my hands unto thee.  ##Psalm 134:2|Psalm 134.2##  Lift up your hands in the sanctuary and bless the Lord.  ##Psalm 141:2|Psalm 141.2## Let my prayer be set forth before thee as Incense, and the lifting up of my hands as the evening sacrifice.  ##Psalm 143:6|Psalm 143.6## I stretch forth my hands unto thee my soul thirsteth after thee, as the thirsty land.  ##Exodus 17:11|Exedus 17.11##. Hur stay'd up his hands, the one or one side, and the other on the other side, and his hands were steady, until the going down of the same  ##1 Kings 8:15-21|1st Kings 8.15 to 21##. Solomon kneeling before the alter in the court, lifted his hands to Heaven, while he offer'd the Dedicatory prayer."
17999,b617b85a-7427-4146-b7c3-8052548020f3,1897-04-20,"<p>[[Nashville, Davidson County, Tennessee|Nashville]], Tenn.<br/>
<time datetime=""1897-04-20"">April 20, 1897</time></p>

<p>President Wilford Woodruff<br/>
and Counselors<br/>
Dear Brethren:--<br/>
A letter from Judge Judd Chairman of the<br/>
Tennessee Centennial Commission, received yesterday<br/>
morning, contained the request that I leave<br/>
here by next train for [[Salt Lake City, Salt Lake County, Utah|Salt Lake]], to help<br/>
get the Utah Exhibit together for shipment<br/>
to Nashville, and my transportation to<br/>
Salt Lake and return was enclosed.  I<br/>
prepared to depart but hardly felt justified<br/>
without a word from you.  I understood<br/>
that I was to labor under the direction<br/>
of the Commission <u>at Nashville</u> and did<br/>
not feel that it means a return to [[Utah|Utah]]<br/>
even temperarilly, so I telegraphed last<br/>
night asking your consent to the trip<br/>
home, puting off my departime 24 hours.<br/>
I have heard nothing from you and it being<br/>
two hours from train time I hasten to<br/>
drop this note of explanation to say<br/>
that my best judgment leads me to<br/>
go - as every <u>hour</u> now counts much<br/>
for our exhibit.  I shall probably be in<br/>
Salt Lake Saturday.  Hoping this is entirely<br/>
according to your wishes I am Your Bro.  [[George Dollinger Pyper|Geo. D. Pyper]]</p>

<p>[left margin:  <u>over</u><br/>
end left margin]</p>","Nashville, Tenn. April 20, 1897  President Wilford Woodruff and Counselors Dear Brethren:-- A letter from Judge Judd Chairman of the Tennessee Centennial Commission, received yesterday morning, contained the request that I leave here by next train for Salt Lake, to help get the Utah Exhibit together for shipment to Nashville, and my transportation to Salt Lake and return was enclosed.  I prepared to depart but hardly felt justified without a word from you.  I understood that I was to labor under the direction of the Commission at Nashville and did not feel that it means a return to Utah even temperarilly, so I telegraphed last night asking your consent to the trip home, puting off my departime 24 hours. I have heard nothing from you and it being two hours from train time I hasten to drop this note of explanation to say that my best judgment leads me to go - as every hour now counts much for our exhibit.  I shall probably be in Salt Lake Saturday.  Hoping this is entirely according to your wishes I am Your Bro.  Geo. D. Pyper  left margin:  over end left margin"
18000,15e2ded6-c447-4ca7-b960-47c262c18a80,1897-04-20,"<p>Nothing could induce me to return<br/>
home at this time save a belief that<br/>
I am in line of the new duty imposed<br/>
upon one and that it has your full<br/>
approbation      <u>[[George Dollinger Pyper|Geo. D. P.]]</u></p>

<p>[left margin bottom written sideways:<br/>
Geo D. Pyper<br/>
Apl. 20/97</p>",Nothing could induce me to return home at this time save a belief that I am in line of the new duty imposed upon one and that it has your full approbation      Geo. D. P.  left margin bottom written sideways: Geo D. Pyper Apl. 20/97
18001,3f41b917-d2c7-458b-a8d5-92860adf2cc2,1892-12-12,"<p>These passages of scripture are not quoted, as suggestive<br/>
of any obligation that we as Latter day saints are under<br/>
to either [[David (OT)|David]], [[Solomon (OT)|Solomon]], or [[Moses (OT)|Moses]], but I do think, they<br/>
are strikingly suggestive of a becoming attitude for a<br/>
servant of God to assume when he stands up in the<br/>
presence of a large congregation as their mouth piece<br/>
to supplicate our Almighty Father for blessings, not only<br/>
for those present, but all the house of Israel.</p>

<p>And in this connexion I am also a strong advocate, for<br/>
the whole congregation uniting in loud response, <u>Amen</u><br/>
as so strongly urged by President [[Joseph Fielding Smith|Jospeh F. Smith]], at our<br/>
recent conference.  From the quaker like silence that<br/>
usually prevails after a prayer has been offered, for, and<br/>
in their behalf, the whole congregation may have been<br/>
fast asleep, during its presentation, as far as any outward<br/>
manifestation proving to the contrary.<br/>
These suggestions are respectfully submitted, if deemed<br/>
worthy of your notice, please receive them from one who<br/>
loves Zions cause, and interested in all things pertaining to her welfare.<br/>
And that God may continually bless, and inspire each of you</p>

<p>I remain Your Brother    [[George Goddard|George Goodard]]</p>","These passages of scripture are not quoted, as suggestive of any obligation that we as Latter day saints are under to either Moses, but I do think, they are strikingly suggestive of a becoming attitude for a servant of God to assume when he stands up in the presence of a large congregation as their mouth piece to supplicate our Almighty Father for blessings, not only for those present, but all the house of Israel.  And in this connexion I am also a strong advocate, for the whole congregation uniting in loud response, Amen as so strongly urged by President Jospeh F. Smith, at our recent conference.  From the quaker like silence that usually prevails after a prayer has been offered, for, and in their behalf, the whole congregation may have been fast asleep, during its presentation, as far as any outward manifestation proving to the contrary. These suggestions are respectfully submitted, if deemed worthy of your notice, please receive them from one who loves Zions cause, and interested in all things pertaining to her welfare. And that God may continually bless, and inspire each of you  I remain Your Brother    George Goodard"
18002,14ac5c50-dc37-495c-b2ef-18f2a1df8066,1856-08-01,"<p>[[Washington, D.C., United States|Washington DC]]<br/>
<time datetime=""1856-08-01"">Aug 1st 1856</time></p>

<p>W. Woodruff Dear Bro.</p>

<p>[[George Albert Smith|I]] just received a note from <br/>
[[Franklin Dewey Richards|F. D. Richards]] dated [[Liverpool, Lancashire, England|Liverpool]] July 18. 1856<br/>
which informs me that Elders [[Orson Pratt|O. Pratt]] &amp; <br/>
[[Ezra Taft Benson|E. T. Benson]] arrived in Liverpool on Sunday<br/>
night about 12 oclk at night of the 13th July.</p>

<p>Franklin expected to sail<br/>
from Liverpool on the 26th July in company<br/>
with Elder [[Cyrus Hubbard Wheelock|Whelock]] [[Joseph Angell Young|J. A. Young]] [[William C. Dunbar|Dunbar]]<br/>
[[James Linforth|Linforth]] &amp; family</p>

<p>I expect to go to [[New York|N. York]]<br/>
to meet them as I wish to see him &amp;<br/>
Elder [[John Taylor, b. 1808|Taylor]] together before Congress adjourns</p>

<p>Brothers [[Joseph Leland Heywood|Heywood]] [[John Milton Bernhisel|Bernhisel]] and <br/>
myself are well altho the weather has<br/>
been so hot as to prostrate us considerably</p>

<p>Congress spent the Day yesterday<br/>
quarrelling about [[Kansas|Kansas]]</p>

<p>Kansas is all that can be<br/>
thought of in the house of Representatives</p>

<p>Brooks &amp; Keitt have been returned <br/>
to Congress by their respective Districts</p>

<p>They had resigned in Consequence<br/>
of the Sumner Censure - They will pro-<br/>
bably take their seats as soon as Monday</p>",Washington DC Aug 1st 1856  W. Woodruff Dear Bro.  I just received a note from  Liverpool July 18. 1856 which informs me that Elders O. Pratt and  E. T. Benson arrived in Liverpool on Sunday night about 12 oclk at night of the 13th July.  Franklin expected to sail from Liverpool on the 26th July in company with Elder Dunbar Linforth and family  I expect to go to N. York to meet them as I wish to see him and Elder Taylor together before Congress adjourns  Brothers Bernhisel and  myself are well altho the weather has been so hot as to prostrate us considerably  Congress spent the Day yesterday quarrelling about Kansas  Kansas is all that can be thought of in the house of Representatives  Brooks and Keitt have been returned  to Congress by their respective Districts  They had resigned in Consequence of the Sumner Censure - They will pro- bably take their seats as soon as Monday
18003,45a9ff3a-21c2-4f57-a002-7fb409ebbd36,1893-06-14,"<p>[[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake City]], <time datetime=""1893-06-14"">June 14. 1893</time>.</p>

<p>President Willford Woodruff,</p>

<p>Dear Brother!</p>

<p>As [[Frederick W. Schoenfeld|I]] have completed the work of revising<br/>
the German Book of Mormon, I deem it<br/>
necessary to render a Statement of you<br/>
of the work done.  The old translation<br/>
was some what faulty, as regards the<br/>
German grammar, so I went carefully through<br/>
and corrected those, devided the text in chap-<br/>
ters and verses; arranged and compared Refer-<br/>
rences and also arranged the German text on<br/>
the same correopanding pages with the English<br/>
Copie and read the first proof.  This work occup-<br/>
ied 99 days, at 8 hours per day.</p>

<p>I have also by request of Apostle [[Abraham Hoagland Cannon|A. H. Cannon]]<br/>
entered upon the revision of the book of [[Doctrine and Covenants|Doc-<br/>
trine &amp; Covenant]];, and arrange that the same so<br/>
the English Copie.  The translation of that<br/>
book is superior to that of the book of Mormon<br/>
There are about 25 Revelations, which will have<br/>
to be translated, as they were not contained<br/>
in the old book.</p>

<p>I must aknolledge that in doing this work, I have<br/>
been blessed in my labors, for which I feel thank-<br/>
full.</p>

<p>I have in a former Statement asked of the Brethe-<br/>
ren for an advancement of $200<sup><u>00</u></sup>, to enable<br/>
me to prosecate my labors, and defray some other</p>

<p>I </p>","Salt Lake City, June 14. 1893.  President Willford Woodruff,  Dear Brother!  As I have completed the work of revising the German Book of Mormon, I deem it necessary to render a Statement of you of the work done.  The old translation was some what faulty, as regards the German grammar, so I went carefully through and corrected those, devided the text in chap- ters and verses; arranged and compared Refer- rences and also arranged the German text on the same correopanding pages with the English Copie and read the first proof.  This work occup- ied 99 days, at 8 hours per day.  I have also by request of Apostle A. H. Cannon entered upon the revision of the book of Doc- trine and Covenant;, and arrange that the same so the English Copie.  The translation of that book is superior to that of the book of Mormon There are about 25 Revelations, which will have to be translated, as they were not contained in the old book.  I must aknolledge that in doing this work, I have been blessed in my labors, for which I feel thank- full.  I have in a former Statement asked of the Brethe- ren for an advancement of $20000, to enable me to prosecate my labors, and defray some other  I "
18004,3031f0bc-3d77-43a4-82d8-7dfd34ab8e45,1856-08-01,"<p>I write this Letter in hopes that the <br/>
Honorable [[Almon Whiting Babbitt|A. W. Babbitt]] will be <br/>
able to Convey it to you - ahead of the <br/>
next mail - Please tell my family<br/>
that I enjoy health - I am very<br/>
Respectfully your Brother &amp;c<br/>
[[George Albert Smith|Geo. A. Smith]]</p>

<p>To <br/>
W. Woodruff<br/>
Hystorian and<br/>
Genl Church Recorder</p>

<p>B. A. Smith Aug 1 1856<br/>
Arrived April 7 1857<br/>
</p>",I write this Letter in hopes that the  Honorable A. W. Babbitt will be  able to Convey it to you - ahead of the  next mail - Please tell my family that I enjoy health - I am very Respectfully your Brother andc Geo. A. Smith  To  W. Woodruff Hystorian and Genl Church Recorder  B. A. Smith Aug 1 1856 Arrived April 7 1857 
18005,7c00e557-dc79-4965-92f2-a196f73ec4ac,1893-06-14,"<p>necessary Expenses, but as I learn that<br/>
the authorities <strike>have</strike> have so many calls for<br/>
money, as that article is very scarce, I take<br/>
the liberty to make the following proposition<br/>
My son, [[Joseph F. Schoenfeld|Joseph F. Schoenfeld]], coming home from<br/>
his Mission from [[Germany|Germany]] over drew $50<sup><u>00</u></sup> in Bern<br/>
Office to enable him to come home, and I would<br/>
be pleased to settle that ammount, and they<br/>
are in need of copies of the new [[Book of Mormon|book of Mor-<br/>
mon]], <u>^which would <span class=""unclear"">[att set ]</span> that ammount</u>^ Frther I would pay $75<sup>00</sup> in Tithing<br/>
on half Cash recipts and half <span class=""unclear"">[suip]</span>; and for the <br/>
Balance $75<sup>00</sup> I am sorry to say. I have<br/>
some obligations to fill, which I am only<br/>
able to fill with money.</p>

<p>Hoping Dear Brother you will be so kind - <br/>
and grand my desire, which the general<br/>
dullnes of time compell me to make known<br/>
to you; I remain yours obedient;<br/>
[[Frederick W. Schoenfeld|Frederick W. Schoefeld]].</p>

<p>200 &amp; appropriated as above<br/>
June 15 - 93 - [[Joseph Fielding Smith|J.F.S.]]</p>","necessary Expenses, but as I learn that the authorities have have so many calls for money, as that article is very scarce, I take the liberty to make the following proposition My son, Joseph F. Schoenfeld, coming home from his Mission from Germany over drew $5000 in Bern Office to enable him to come home, and I would be pleased to settle that ammount, and they are in need of copies of the new book of Mor- mon, ^which would att set  that ammount^ Frther I would pay $7500 in Tithing on half Cash recipts and half suip; and for the  Balance $7500 I am sorry to say. I have some obligations to fill, which I am only able to fill with money.  Hoping Dear Brother you will be so kind -  and grand my desire, which the general dullnes of time compell me to make known to you; I remain yours obedient; Frederick W. Schoefeld.  200 and appropriated as above June 15 - 93 - J.F.S."
18006,2402befa-0a88-475f-a0ae-442a04b5fb41,1893-12-07,"<p>[[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake]]<br/>
<time datetime=""1893-12-07"">Dec. 7<sup><u>th</u></sup> [18]93</time></p>

<p>President Woodruffe &amp; Councilors</p>

<p>Dear Brethren.</p>

<p>Further enquiries have<br/>
been made of Bro H. G. Whitmer relative<br/>
to Madam Pertti and Concert Co<br/>
appearing in our [[Tabernacle, Salt Lake City, Salt Lake County, Utah Territory|tabernacle]] and as<br/>
[[Evan Stephens|I]] have recieved no reply since<br/>
concersing with you on the matter<br/>
a few weeks since, I write to<br/>
ask if you can give me a definite <br/>
reply to give them.</p>

<p>Her manager states their willingness<br/>
to appear in a concert for the benifit<br/>
of the tabernacle choir. They<br/>
recieving a certain percentage of<br/>
gross reciepts, and also to make a<br/>
special programme, suited to the <br/>
building, etc. while not wishing to urge it<br/>
the choir will certainly need aid<br/>
financially from some source before<br/>
the winter is <span class=""unclear"">[cme]</span> as a choir of<br/>
the size of ours takes a great</p>","Salt Lake Dec. 7th 1893  President Woodruffe and Councilors  Dear Brethren.  Further enquiries have been made of Bro H. G. Whitmer relative to Madam Pertti and Concert Co appearing in our tabernacle and as I have recieved no reply since concersing with you on the matter a few weeks since, I write to ask if you can give me a definite  reply to give them.  Her manager states their willingness to appear in a concert for the benifit of the tabernacle choir. They recieving a certain percentage of gross reciepts, and also to make a special programme, suited to the  building, etc. while not wishing to urge it the choir will certainly need aid financially from some source before the winter is cme as a choir of the size of ours takes a great"
